,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
0,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
1,Inward Journey,,en,['Medical'],,NOT_MATURE,Open Court Publishing Company,1983-01,133.0
2,The Boston Directory ...,,en,['Boston'],,NOT_MATURE,,1865,
3,Bring Your Own Devices (BYOD) Survival Guide,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2016-04-19,451.0
4,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2016-04-19,425.0
5,The CIO's Guide to Oracle Products and Solutions,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2014-09-02,288.0
6,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,2016-04-19,528.0
7,Implementing the Project Management Balanced Scorecard,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2010-07-20,447.0
8,Social Software Engineering,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,2016-04-19,481.0
9,Classes on Modern Poets and the Art of Poetry,"['James Dickey', 'Donald J. Greiner']",en,['Biography & Autobiography'],4.5,NOT_MATURE,Univ of South Carolina Press,2004-01,310.0
10,Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,,NOT_MATURE,Oxford University Press,2016-08-04,224.0
11,Retelling the Nicaraguan Revolution as a Dionysian Ritual,['Martina Handler'],en,['History'],,NOT_MATURE,LIT Verlag Münster,2010,139.0
12,Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],,NOT_MATURE,BookCaps Study Guides,2011,
13,Handbook of Applied Developmental Science,"['Richard M. Lerner', 'Francine Jacobs', 'Donald Wertlieb']",en,['Psychology'],,NOT_MATURE,SAGE,2003,2296.0
14,Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],,NOT_MATURE,,2001,45.0
15,The Journal of the Iowa Academy of Science,,en,['Science'],,NOT_MATURE,,1989,
16,Dental Science in a New Age,['Ruth Roy Harris'],en,['Dentistry'],,NOT_MATURE,,1989,476.0
17,List of the Scientific Writings of Charles Rollin Keyes,,en,['Geology'],,NOT_MATURE,,1909,23.0
18,A Study Guide for Daniel Keyes's Flowers for Algernon,"['Gale, Cengage Learning']",en,['Literary Criticism'],,NOT_MATURE,"Gale, Cengage Learning ",2015-03-13,15.0
19,Domain-based Parallelism and Problem Decomposition Methods in Computational Science and Engineering,"['David E. Keyes', 'Yousef Saad', 'Donald G. Truhlar']",en,['Mathematical optimization'],,NOT_MATURE,SIAM,1995-01-01,323.0
20,United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],en,,,NOT_MATURE,,1991,
21,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,2016-04-19,528.0
22,Technology Trendlines,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,John Wiley & Sons,1995-08-09,394.0
23,Biography and Genealogy Master Index,,en,['Biography'],,NOT_MATURE,,1997,
24,Technical Paper - Bureau of Mines,['United States. Bureau of Mines'],en,['Mineral industries'],,NOT_MATURE,,1931,
25,The Corporate Directory of US Public Companies 1995,['Elizabeth Walsh'],en,['Business & Economics'],,NOT_MATURE,Springer,2016-06-11,2664.0
26,"The National Deans List, 1997-98",,en,['Students'],3.0,NOT_MATURE,,1998,832.0
27,Who's who in Technology,,en,['Technologists'],,NOT_MATURE,,1986,
28,The United States Patents Quarterly,,en,['Copyright'],,NOT_MATURE,,1996,
29,ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,['Architecture'],,NOT_MATURE,,1991,
30,"World War II: the Encyclopedia of the War Years, 1941-1945","['Norman Polmar', 'Thomas B. Allen']",en,['History'],1.0,NOT_MATURE,Courier Corporation,2012-08-15,940.0
31,Bulletin - New Mexico Bureau of Mines & Mineral Resources,['New Mexico. Bureau of Mines and Mineral Resources'],en,['Geology'],,NOT_MATURE,,1915,
32,Whitaker's Five-year Cumulative Book List,,en,['English literature'],,NOT_MATURE,,1968,
33,American Predator,['Maureen Callahan'],en,['True Crime'],4.0,NOT_MATURE,Penguin,2019-07-02,304.0
34,Whitaker's Cumulative Book List,,en,['Great Britain'],,NOT_MATURE,,1961,
35,"Business Organizations, Keyed to Soderquist",['Casenotes'],en,['Business & Economics'],,NOT_MATURE,Aspen Publishers Online,2006-01-20,208.0
36,Next-Generation Biofuels,['William T. Coyle'],en,['Alcohol as fuel'],,NOT_MATURE,DIANE Publishing,2010-09,26.0
37,"Casenote Legal Briefs for Business Organizations, Keyed to Smiddy and Cunningham",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2011-03-15,252.0
38,No Oath Sworn,['Phil Geusz'],en,['Fiction'],,NOT_MATURE,Lulu.com,2012-12-01,226.0
39,Southern Writers,"['Joseph M. Flora', 'Amber Vogel']",en,['Reference'],,NOT_MATURE,LSU Press,2006-06-21,504.0
40,Therapist's Guide to Positive Psychological Interventions,['Jeana L. Magyar-Moe'],en,['Psychology'],,NOT_MATURE,Academic Press,2009-07-30,200.0
41,A Handbook for the Study of Mental Health,"['Teresa L. Scheid', 'Eric R. Wright']",en,['Medical'],,NOT_MATURE,Cambridge University Press,2017-06-08,736.0
42,Foundations of Professional Psychology,['Timothy P Melchert'],en,['Psychology'],,NOT_MATURE,Elsevier,2011-07-12,262.0
43,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],,NOT_MATURE,CRC Press,2016-04-19,528.0
44,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,2006-06-07,184.0
45,The Courage to Write,['Ralph Keyes'],en,['Language Arts & Disciplines'],4.0,NOT_MATURE,Holt Paperbacks,2003-10-01,240.0
46,Epidemiology Matters,"['Katherine M. Keyes', 'Sandro Galea']",en,['Medical'],,NOT_MATURE,Oxford University Press,2014-06-17,304.0
47,"Thermodynamic Functions of Gases: Ammonia, carbon dioxide and carbon monoxide",['F. Din'],en,['Gases'],,NOT_MATURE,,1956,175.0
48,Journal of Heat Transfer,,en,['Heat'],,NOT_MATURE,,1964,
49,Data Modeling Essentials,"['Graeme Simsion', 'Graham Witt']",en,['Computers'],4.0,NOT_MATURE,Elsevier,2004-12-03,560.0
50,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66.0
51,The Infernal City: An Elder Scrolls Novel,['Greg Keyes'],en,['Fiction'],3.5,NOT_MATURE,Del Rey,2009-11-24,304.0
52,Sushi for Beginners,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Harper Collins,2009-03-17,448.0
53,Angels,['Marian Keyes'],en,['Fiction'],4.0,NOT_MATURE,Harper Collins,2009-03-17,448.0
54,Science Fiction and Fantasy Literature,"['R. Reginald', 'Douglas Menville', 'Mary A. Burgess']",en,['Reference'],,NOT_MATURE,Wildside Press LLC,2010-09,800.0
55,Independence Day: Crucible,['Greg Keyes'],en,['Fiction'],,NOT_MATURE,Titan Books,2016-05-27,384.0
56,The Mammoth Encyclopedia of Science Fiction,['George Mann'],en,['Fiction'],3.0,NOT_MATURE,Hachette UK,2012-03-01,160.0
57,The Mystery of Mercy Close,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Penguin,2013-04-09,400.0
58,The New Orleans of Fiction,['James A. Kaser'],en,['Literary Criticism'],,NOT_MATURE,Scarecrow Press,2014-07-29,426.0
